食品添加剂中文名称,食品添加剂英文名称,CNS,INS,功能,质量规格标准,JECFA规格资料,备注,添加剂说明
海藻酸丙二醇酯,propylene glycol alginate,20.010,405,增稠剂、乳化剂、稳定剂,,,,"食品添加剂海藻酸丙二醇酯（Propylene Glycol Alginate，简称PGA），是一种从天然海藻中提取的多糖类生物高分子物质。其主要由褐藻中的海藻酸经过酯化反应合成而来，通常呈白色或黄白色的细小颗粒。

### 应用领域：

1. **食品工业**：作为乳化剂、稳定剂和增稠剂使用于各种饮料产品中。
2. **化妆品**：用于制造具有保护皮肤、保湿和提供稳定性的护肤产品。
3. **医药行业**：在药物制剂中作为一种辅料，有助于改善药物的吸收和释放。

### 安全性：

海藻酸丙二醇酯被认为是安全的食品添加剂。根据现有的研究和使用历史，它对成人、儿童、孕妇以及老年人通常不会产生明显的副作用或有害影响，前提是使用按照法规批准的安全剂量下使用。

### 建议的摄入量：

尽管目前没有特定的每日推荐摄入量（RDI）专门针对海藻酸丙二醇酯提供，但根据国际食品安全监管机构（如FAO/WHO食品添加剂联合专家委员会）的规定，在合理和适当的使用情况下，该物质被认为是对人体安全的。在食品标签上或产品说明书中通常会明确标注其使用限制和适用条件。

### 注意事项：

尽管海藻酸丙二醇酯是安全的，但对于特定人群（如对某些食物过敏的人群），个体差异可能需要特别注意。建议在使用前仔细阅读产品标签，并咨询医生或营养师，特别是对于有特殊健康状况的人来说。

总的来说，海藻酸丙二醇酯作为一种食品添加剂，因其来源于天然成分，在合理和适当使用的情况下，对大多数人群是安全的。然而，其具体适用条件、剂量等应遵循相关法规和专业建议。"
海藻酸钙（又名褐藻酸钙）,calcium alginate,20.046,404,增稠剂、稳定剂和凝固剂,,,,"### 海藻酸钙概述

海藻酸钙（又名褐藻酸钙）是一种源自褐藻的天然多糖醛酸，主要成分包括直链糖醛酸聚糖。这种食品添加剂在化妆品、保健品和食品工业中有着广泛的应用。

#### 适用范围：

1. **食品加工**：用于冷冻食品、面制品等，作为稳定剂或凝固剂。
2. **烘焙领域**：改善烘焙产品的质地和稳定性。
3. **糖果制造**：作为凝胶基质，增加糖果的结构强度和口感。
4. **饮料工业**：在某些饮料中用作增稠剂。
5. **化妆品**：作为保湿成分、防腐剂等。

#### 安全性：

- **总体安全性**：海藻酸钙被认为是一种相对安全的食品添加剂。它已被美国食品药品监督管理局（FDA）列为GRAS（一般认为是安全的）物质。
- **对不同人群的影响**：
  - **儿童**：通常情况下，对于健康儿童而言，食用含海藻酸钙的产品被认为是安全的。
  - **孕妇和老年人**：由于饮食习惯、消化能力等因素，建议在咨询医生或营养师后摄入含有海藻酸钙的食物。过量摄入可能影响消化系统，尤其是对有特殊医疗状况的人群。

#### 剂量限制：

- 在食品工业中使用海藻酸钙时，遵循相关国家的食品安全标准和指导。例如，在欧盟，每日允许摄入量（ADI）未明确给出具体数值，而是基于消费者长期安全消费的安全性评估。
- 对于特定用途或人群（如孕妇、小孩），根据实际需要进行调整，并确保不会超过推荐剂量。

总的来说，海藻酸钙在合理范围内使用被认为是安全的。然而，对于某些特殊群体，特别是有特定健康问题的人群，在摄入含有这种成分的产品时应格外小心，最好咨询专业人士的意见。"
海藻酸钾（又名褐藻酸钾）,potassium alginate,20.005,402,增稠剂,,,,"### 海藻酸钾（褐藻酸钾）概述

**食品添加剂名称**: 海藻酸钾，又称褐藻酸钾或藻朊酸钾。

**化学式**: (C6H7O6 K)n。

**来源**: 从海带等褐藻类植物中提取的天然多糖类物质。

**主要功能和用途**:
1. **食品工业**: 增稠剂、稳定剂，用于改善食品质地，增加黏性。
2. **医药领域**: 在制药及保健食品中用作增稠剂、凝固剂等。
3. **牙科与美容**: 作为牙科印模料和面膜材料。

**食品安全标准**:
- GB 29988-2013 食品安全国家标准规定了海藻酸钾（褐藻酸钾）在食品中的使用范围及限量要求。

### 安全性评估

#### 对人体的影响
- **一般安全性**: 海藻酸钾作为一种天然提取物，通常被认为是安全的。它已被广泛用于食品和医药领域多年。
- **剂量建议**:
  - 根据食品安全标准，海藻酸钾在特定食品中的使用应符合最大残留限量要求。
  - 对于普通成人，按照法规规定的使用量摄入是安全的。

#### 特定人群
- **小孩、孕妇及老人**:
  - 海藻酸钾通常适用于所有年龄段的人群。然而，在特殊情况下（如过敏反应或特定健康状况），建议在医生指导下使用。
  
### 结论
海藻酸钾作为一种从褐藻类植物中提取的天然多糖，被广泛用于食品和医药领域作为增稠剂、稳定剂等。根据当前食品安全标准，合理使用时对人体一般无害，并且适合所有年龄段的人群。不过，在特定健康状况下，如孕妇、小孩和老人的使用应咨询专业人士意见。

请参考相关食品安全标准进行具体应用，确保符合规定的最大残留限量要求。"
海藻酸钠（又名褐藻酸钠）,sodium alginate,20.004,401,增稠剂、稳定剂,,,,"食品添加剂“海藻酸钠”（又名褐藻酸钠）是一种从褐藻类植物中提取的天然多糖，其化学式为(C6H7O6Na)n。在食品工业中，主要被用作增稠剂、稳定剂和凝固剂等。

### 适用范围：
海藻酸钠广泛应用于各种食品加工中，包括但不限于饮料、乳制品、冷冻食品、糖果、烘焙产品、肉制品和酱料等。其作用主要是改善食品的质地、延长保质期以及调节产品的口感。

### 对人体的影响：
根据现有的食品安全国家标准（GB 1886.243-2016），海藻酸钠作为食品添加剂是安全的，并未报告对人体有害的情况。然而，如所有食品添加剂，过量摄入可能对特定人群产生不利影响。

### 是否对人体有害及影响人群：
1. **小孩**：目前没有针对儿童的具体研究或明确的安全剂量标准提及是否会对儿童造成特殊风险。
2. **孕妇**：虽然海藻酸钠在大多数情况下被认为是安全的，但孕期妇女应咨询医生或营养师的意见，特别是考虑到其使用量和可能与某些药物相互作用的风险。建议在妊娠期间避免摄入超出推荐食用量或未经医生允许的食物添加剂。
3. **老人**：同样地，老年人可以安全使用海藻酸钠，但如有特殊健康状况（如消化系统问题、过敏史等），应谨慎使用，并咨询医疗专业人员。

### 剂量控制：
根据食品安全国家标准，海藻酸钠的每日最大摄入量应在合理范围之内。具体的每日推荐摄入量或最大摄入量可能随不同国家和地区的法规而有所不同。例如，在中国，《GB 1886.243-2016 食品安全国家标准食品添加剂 海藻酸钠》中规定了海藻酸钠在各类食品中的使用限制，确保其安全性。

### 结论：
海藻酸钠作为一种食品添加剂，被广泛用于改善多种食品的质地和口感。然而，在食用过程中应遵循食品安全标准推荐的使用量，特别是在特殊人群（如孕妇、小孩和老人）中，更需谨慎。若存在特定健康状况或疑虑，建议在专业指导下使用。"
核黄素,riboflavin,08.148,"101(i),101(iii)",着色剂,,,,"### 核黄素（维生素B2）概览

**核黄素，**又称维生素B2，是一种水溶性维生素，在人体中起着至关重要的作用。它是参与体内氧化还原反应和能量代谢的关键物质之一。

#### 应用范围：

- **食品添加剂：**在食品工业中，核黄素常被用作抗氧化剂、强化剂或作为营养补充剂添加到多种食品中，如乳制品、谷物制品、饮料等。
- **营养补充：**对于特定食物摄取不足的人群（如素食主义者），通过膳食补充剂形式摄入核黄素是必要的。

#### 对人体的影响：

1. **一般健康作用：**
   - 核黄素对维持正常的细胞功能至关重要，尤其是对皮肤、黏膜的完整性和健康。
   - 对于能量代谢和生物氧化过程具有重要作用。

2. **特定人群影响：**
   - **成人**：通常情况下，适量摄入不会对人体造成伤害。但过量摄入可能导致腹痛、腹泻等消化系统症状。
   - **儿童**：一般认为对儿童也是安全的，但婴儿和幼儿应特别注意避免高剂量补充，以防止潜在的不良反应。
   - **孕妇**：虽然核黄素在孕期通常被认为是安全的，但建议遵循医生或营养师的指导摄入量。过量可能与流产风险增加有关的报告存在，因此建议在孕期谨慎使用任何维生素补充剂。
   - **老人**：老年人对维生素的需求与其他人相似，但因个体差异和潜在健康状况不同，应依据个人情况调整摄入量。

#### 剂量：

- 核黄素的日推荐剂量范围因年龄、性别及特定健康状态而异。一般成人每日建议摄入量为1.3毫克（男性）或1.1毫克（女性）。孕妇和婴儿的摄入量需更高，具体应遵循专业医疗指导。
- 过量摄入核黄素可能导致腹泻、恶心、头痛等副作用。

### 总结：

核黄素作为维生素B2，在多种食品中被用作添加剂，并且对维持人体健康至关重要。对于一般人群而言，适量摄入是安全的，但在特定情况下（如孕妇和儿童）或过量摄入时可能产生不良反应。重要的是根据个人需求在医生或营养师的建议下调整补充剂的使用。

请记得，虽然适当的维生素摄取有益健康，但任何补充都应基于个体的具体需要，并遵循专业医疗建议。"
黑豆红,black bean red,08.114,—,着色剂,,,,"食品添加剂“黑豆红”在不同的语境下可能指的是多种成分或产品，根据提供的信息可以总结如下：

### 使用场景：
1. **食材组合**：在一些食谱中提到的“黑豆红枣煲乌鸡”，表示将黑豆、红枣与乌鸡一起烹饪使用。
2. **健康补品**：提到了“壮瑶红黑豆酒”作为具有年份特色的酒类，可能含有黑豆提取物或其他成分。

### 成分分析：
1. **营养成分**：豆类通常包含丰富的蛋白质、维生素（如维生素E和B族）、矿物质以及抗氧化剂。
2. **特定用途**：如用于女性健康调理的“黑豆红豆浆燕麦”，强调了其对卵巢保养、皮肤保养等作用。

### 安全性与适用人群：
1. **一般情况**：从提供的信息中，并未直接提及食品添加剂“黑豆红”作为单一成分的存在，因此难以判断其具体安全性。不过，考虑到豆类和红枣等天然食材的通用安全性和广泛接受度，可以推断使用合理剂量时，对大多数健康人群是安全的。
2. **特定群体**：
   - **小孩**：如果“黑豆红”含有高浓度的某些成分或存在不适宜儿童食用的成分（如酒精），则可能不适合儿童。一般而言，儿童应避免摄入含酒精的食物和饮料。
   - **孕妇**：在没有特殊禁忌的情况下，孕妇可以安全地食用适量的豆类、红枣等天然食材。然而，在特定情况下，例如有特殊的健康问题或营养需求时，咨询医生建议是必要的。
   - **老人**：老年人通常也适合食用含有豆类等高营养价值的食物。不过，如有特定疾病（如肾脏病）或其他健康限制，则应根据个人情况调整摄入量。

### 剂量与使用：
1. **适量原则**：无论是作为食材还是补品，都强调了“适量”的重要性。过量摄入某些成分可能会引起不适或副作用。
2. **具体推荐剂量**：提供的信息中并未明确给出“黑豆红”这一特定食品添加剂的推荐每日摄入量。

综上所述，“黑豆红”可能涉及到多种不同的用途和成分，从营养补品到传统食材的应用。在使用时，应注意其组成、安全性以及适用人群的具体需求，合理控制摄入量，并在必要时咨询专业人士的意见。"
黑加仑红,black currant red,08.122,163(iii),着色剂,,,,"食品添加剂名称：黑加仑红

### 适用范围：
1. **化妆品**：在化妆品领域，黑加仑红可能被用于提供颜色和抗氧化效果。
2. **饮料**：如文中提到的“红色农夫果园”，使用含有黑加仑等成分的混合果蔬汁，可以添加黑加仑红作为着色剂以提升颜色。
3. **食品**：在某些特定类型的糖果、烘焙产品或果酱中可能加入黑加仑红作为天然色素。

### 对人体的影响：
- **一般安全性**：作为一种天然的植物来源的添加剂，黑加仑红相对安全。它不含有有害物质，并且与人工合成的化学染料相比，对人体的影响较低。
- **特定人群**：目前未有明确证据表明对儿童、孕妇或老人存在特别的健康风险。但任何食品添加剂都可能引起个别敏感人群的过敏反应或者不适，建议在使用时注意观察个体反应。

### 剂量：
- 黑加仑红作为一种天然色素，在实际应用中通常按照食品安全标准和法规进行添加。具体剂量应参考食品标签上的说明或相关行业指导标准。一般来说，安全范围内的使用是被允许的。
- 对于特定食品类别（如婴幼儿食品），其使用的限量可能有更严格的规定以确保安全性。

### 总结：
黑加仑红作为一种源自自然界的食品添加剂，主要用于提升食物和饮料的颜色，并提供一定的抗氧化效果。在合理、合规的剂量下使用时，对人体大多数个体是安全的。不过，在特定人群（如孕妇、儿童）中，应谨慎考虑其潜在影响，并遵循相关法规及专业建议进行使用。"
红花黄,carthamins yellow,08.103,—,着色剂,,,,"食品添加剂名称：红花黄

### 应用范围：
红花黄主要应用于药品领域，特别是中药制剂。在冠心病稳定性、缺血性心脏病等心血管疾病的治疗中被推荐使用。

### 安全性和剂量：

1. **安全性**：从现有资料来看，并没有明确的关于红花黄对人体有害的信息。然而，任何食品添加剂或成分都可能对特定人群产生不同的反应，因此在使用时需要谨慎。
2. **适用人群**：
   - 小孩、孕妇和老人在使用红花黄之前应咨询医生或药师，因为他们的身体特点可能导致药物反应不同。
3. **剂量**：具体的使用剂量建议参考药品说明书或遵医嘱。例如，静脉注射的推荐剂量为一次200-400mg，用5-10%葡萄糖注射液溶解后稀释至250-500ml并缓慢滴注。

### 注意：
尽管红花黄作为一种食品添加剂或营养补充剂的信息在公开资料中较少提及，但从其在医药领域中的应用来看，它被认为具有一定的安全性。然而，在实际使用过程中，个体差异可能导致不同的反应，因此建议在专业人士的指导下使用，并注意观察身体反应。

请咨询专业医疗人员以获得更详细和个性化的指导。"
红米红,red rice red,08.111,—,着色剂,,,,"### 关于食品添加剂红米红的情况总结：

#### 适用范围：
- 红米（糙米）由于其丰富的营养成分，常被用于煮粥或与其他谷物如红米精米、小米等共同烹调。适用于饮食中的主食、保健食品和某些特定的营养需求场景。

#### 对人体的影响：
1. **营养价值**：红米中含有大量氨基丁酸，具有改善脑血流量、调节血压、镇静神经、减少中性脂肪等功效。它可以预防神经性老年痴呆、缓解脑血栓、心律失常与脑动脉硬化导致的头疼和耳鸣。同时，对于儿童多动症也有一定辅助作用。
2. **安全性**：红米作为一种天然食品，通常被认为是安全的。但是，任何食物在过量摄入时都可能对健康产生不利影响。

#### 是否对人体有害：
- 对于一般人群而言，适量食用红米是安全且有益健康的。然而，在特定情况下，如患有肾病、消化道疾病等特殊群体，应根据个人健康状况调整食用量。
- 儿童、孕妇和老人在摄入时同样需要适量，并注意食物的烹饪方法以保持营养成分的最大化。

#### 剂量建议：
- 对于成人而言，红米作为日常饮食的一部分，建议每天的摄入量不超过100克。但是，具体摄入量还应考虑个人的身体状况、年龄、性别和活动水平。
- 孕妇在孕期应根据医生或营养师的指导调整饮食习惯，确保营养均衡且安全。

#### 注意事项：
1. **过敏风险**：极少数人可能对红米中的某些成分（如特定种类的谷蛋白）产生过敏反应。建议敏感体质者在食用前先做小量尝试。
2. **加工食品中的添加**：“红米红”这一名称通常与食品添加剂无关，但如果出现在食品配料表中，则需要仔细阅读成分列表以了解具体用途和安全性。

总之，红米（糙米）作为一种营养丰富的谷物，在适量摄入的情况下对健康有益。对于特定人群或有特殊饮食需求的人群，在调整食用量和频率时应咨询专业医疗或营养建议。"
红曲黄色素,monascus yellow pigment,08.152,—,着色剂,,,,"### 红曲黄色素概述

红曲黄色素是一种天然色素，主要由紫色红曲霉（Monascus purpureus）和赤红曲霉（M.anka）通过现代生物技术提取而成的天然着色剂。它呈现出橙红色至黄褐色的粉末状态，不溶于油脂但能轻松溶解于水。

### 适用范围

根据GB2760的规定，红曲黄色素可用于多种食品中，包括但不限于熟肉制品、糕点、果蔬汁（包括发酵型产品等）、蛋白质饮料类、碳酸饮料和风味饮料（包括果味饮料、乳味、茶味及其衍生物）。

### 安全性

- **一般安全性**：红曲黄色素被视为安全的食品添加剂，适用于各种人群。
- **对小孩、孕妇及老人的影响**：根据现有信息，红曲黄色素被普遍认为是安全的，适合包括儿童、孕妇和老年人在内的所有年龄段的人群使用。不过，在特定情况下（如过敏），个体可能需要特别注意。

### 剂量与应用

食品级红曲黄色素的使用应遵循GB2760中的规定剂量，并根据具体食品类别进行适当调整。过量摄入任何色素，包括天然色素，都可能导致健康问题，因此在实际应用中需严格控制添加量以确保安全性。

### 化学成分及药理作用

红曲黄色素包含的主要化学成分为红曲黄素（ankaflavin）和其它相关化合物。研究表明，它具有对高脂血症小鼠的肝脏保护作用，并能有效调节血脂水平，这可能与脂代谢调节和激活腺苷酸活化蛋白激酶途径刺激脂肪酸氧化有关。

### 总结

红曲黄色素是一种广泛应用在多种食品中的天然色素，安全用于包括儿童、孕妇及老年人在内的所有年龄段人群。其使用应严格遵循GB2760的指导原则，并根据具体食品类别和要求控制添加量。尽管一般被认为无害，过量摄入任何类型的色素都可能对健康造成潜在影响，因此在实际应用中应注意剂量控制。"
红曲米，红曲红,"red kojic rice, monascus red","08.119,08.120",—,着色剂,,,,"### 红曲米与红曲红的概述及适用范围：

**红曲米**和**红曲红**是两种源自红曲霉菌（Monascus）发酵产物，广泛应用于食品加工、烹饪调味以及医药领域。主要区别在于它们的形态、用途和使用方法。

- **红曲米**是以稻米为原料经过红曲霉菌发酵而成的棕红色或紫红色米粒。它常被用作天然色素添加到豆腐乳、烤鸭、黄酒、米醋等食品中，提供自然的颜色并有助于保存。不过直接加入卤水中可能会影响卤水质地。

- **红曲红**是从红曲米提取得到的液体色素或从红曲霉深层培养液中结晶、精制后的产品。它被广泛用于食品着色，如面点、糖果、饮料等，并已通过多种国际认证（如美国GRAS、欧盟E163批准）作为合法食用色素。

### 对人体的影响：

**安全性**：红曲米和红曲红被认为是安全的天然色素，没有证据表明对健康有显著危害。在适量使用的情况下，对小孩、孕妇、老人等特定人群也是安全的。研究显示红曲可能具有降血脂、预防胆结石等作用，并且可用于食品防腐。

### 使用剂量：

- **用量**：在烹饪中，红曲米和红曲红的使用量需要根据具体需求调整。例如，在卤肉上色时，通常建议每500克冰糖用2-3克红曲红即可。添加应遵循少量、分批、多次的原则。

### 注意事项：

1. **过敏风险**：尽管红曲米和红曲红通常被认为是安全的，但对于某些人来说仍存在过敏的可能性，特别是对于已知对发酵食品或特定微生物成分敏感的人。
2. **保存条件**：为了保持其稳定性和品质，在保存时应避免高温、潮湿环境，并遵循适当的储存条件。

总之，红曲米和红曲红是安全且常用的天然色素选择，适用于多种食品加工和烹饪过程。在使用过程中应关注适量原则，以确保食品安全性。"
β-胡萝卜素,"beta-carotene synthetic, beta-carotene, Blakeslea trispora, beta-carotene, algal",08.010,"160a(i),160a(iii),160a(iv)",着色剂,,,,"### β-胡萝卜素概述：

**适用食品范围：**
β-胡萝卜素作为一种天然色素和营养补充剂，常见于多种食品中。它尤其用于增加食物的色泽，如在果汁、饮料、糖果、烘焙食品等中的应用。此外，在营养强化食品、化妆品和个人护理产品（如防晒霜）中也可见到其身影。

### 安全性：

**对成年人的影响：**
现今还没有观察到大量摄入β-胡萝卜素的明显副作用。身体只会将需要的一部分类胡萝卜素转换成维生素A，相较于直接补充维生素A，β-胡萝卜素的风险较低。

**对小孩、孕妇和老人的影响：**
对于儿童而言，高剂量的β-胡萝卜素摄入可能会导致黄疸（皮肤和眼睛变黄）现象，在某些情况下可能与基因变异有关。然而，这种情况较为罕见。在孕期或哺乳期，适量摄入是安全的，但建议遵循医生或营养师的建议，并注意避免过量摄入。

**老年人：**
对于老年人来说，β-胡萝卜素通常被认为在推荐剂量范围内是安全和有益的。它有助于维持视力健康、提高免疫力以及抗氧化作用。然而，由于老年人可能同时服用多种药物，因此应咨询医疗专家以确保安全。

### 剂量：

食品级β-胡萝卜素的使用剂量根据国家食品安全标准（GB 2760-2014）进行规定。例如，在果汁或饮料中添加β-胡萝卜素的最大允许浓度为每100克液体含3毫克，而在糖果和烘焙产品中的最大浓度通常不超过特定值。

**一般建议：**
对于日常营养补充而言，成人推荐摄入量大约是每天800微克的β-胡萝卜素。然而，具体剂量应根据个人健康状况、年龄以及是否与其他维生素或药物共同使用而定。

### 综上所述：
β-胡萝卜素是一种安全且有益于健康的天然成分，尤其是对于视力保健和整体健康具有积极作用。在食品中的应用已经经过了广泛的研究，并证实大多数情况下是安全的。然而，在特定人群中（如儿童、孕妇和老人）以及高剂量摄入时，应特别注意潜在的风险并遵循专业建议。"
琥珀酸单甘油酯,succinylated monoglycerides,10.038,472g,乳化剂,,,,"### 琥珀酸单甘油酯的综合情况

**食品添加剂名称：**琥珀酸单甘油酯（Succinglated monoglycerides，SMG）

**主要功能及特性**：
- **乳化剂**：琥珀酸单甘油酯是一种非离子型食品乳化剂，其乳化性能介于水溶性与油溶性之间。它通过形成双亲分子结构（即包含极性和非极性的部分），在不同相界面上发挥乳化作用。
- **应用领域**：主要适用于乳品、烘焙制品、糖果、饮料等食品中，作为乳化剂使用。

**适用范围**：
- 适用于多种类型食品的制造，包括但不限于乳制品（如冰淇淋）、烘焙产品（蛋糕、面包）、糖果、饮料和调味料等。它可以改善产品的质地、稳定性及口感。

**安全性**：
- **食品安全标准**：根据GB 1886.185-2016食品安全国家标准，琥珀酸单甘油酯作为食品添加剂已得到官方的认可。
- **一般使用情况**：在大多数食品中添加琥珀酸单甘油酯是安全的，但具体使用剂量应遵循相关法规和标准。过量使用可能对健康产生不利影响。

**特定人群的适用性**：
- **小孩、孕妇及老人**：对于这三类群体而言，食物添加剂的安全性问题尤为关注。虽然琥珀酸单甘油酯被批准用于食品中，但建议在医生或营养师的指导下使用含有该成分的食物。一些特殊情况下（如对乳化剂过敏），可能需要避免摄入含有琥珀酸单甘油酯的产品。

**剂量**：
- **标准推荐用量**：具体的添加量应遵循食品安全国家标准GB 1886.185中的规定，确保在安全范围内使用。
- **个体差异**：不同食品的特定需求、消费者健康状况等都可能影响适宜的使用量。因此，在实际应用中，建议根据具体产品特性及目标人群的需求进行调整。

总之，琥珀酸单甘油酯是一种广泛应用于食品工业中的乳化剂，具有良好的乳化性能和安全性记录。在合理范围内使用，通常不会对健康产生不利影响。对于特定人群（如小孩、孕妇和老人），应关注其个体差异及可能的过敏反应，确保食品安全与健康。"
琥珀酸二钠,disodium succinate,12.005,364(ii),增味剂,,,,"### 琥珀酸二钠的概述

琥珀酸二钠（Disodium Succinate），又称WSA或干贝素，是一种常见的食品添加剂。它广泛存在于一些海产品中，并作为调味品应用在多种食品加工过程中，以增强鲜味和风味。

#### 应用领域：

1. **海产品、海鲜制品**：琥珀酸二钠因其能显著提升海产品的鲜味而常被用于海鲜类产品的调味。
2. **预制调料**：它也是现代预制调料中常用的成分之一，帮助提升食品的口感和风味。
3. **烘焙与烹饪**：在沙拉酱、烘焙产品等食品中，琥珀酸二钠可改善食品质地，并增强整体的味道。

#### 对人体的影响：

1. **安全性**：根据现有的科学资料及国际食品安全标准，琥珀酸二钠被认为是一种安全的食品添加剂。在推荐使用量下，对健康成年人一般不会产生有害影响。
2. **特定人群**：
   - **小孩、孕妇与老人**：对于这些特定群体，虽然没有明确表明琥珀酸二钠对他们的直接危害，但建议在食物选择时保持平衡和多样性，避免过量摄入任何添加剂。特别是孕妇和婴儿，因为他们的身体处于敏感阶段或消化系统还未完全发育。

#### 剂量控制：

食品工业中使用琥珀酸二钠的剂量通常遵循各国食品安全标准和指导原则进行。例如，在欧盟，琥珀酸二钠作为增味剂（编码：E627）的最大使用量为100 mg/kg 食品，这一标准旨在确保安全性和风味提升之间的平衡。

### 总结：

琥珀酸二钠作为一种常用的食品添加剂，在提高食品风味方面发挥了重要作用。其安全性已经得到一定的认可，并在合理剂量下的应用对大多数健康人群是无害的。然而，对于特殊群体（如小孩、孕妇和老人）的具体适应情况可能需要更加谨慎考虑，或根据专业营养师建议使用。确保食品的均衡与多样性，以促进健康的饮食习惯是关键。

### 注意：

1. **食品安全**：在日常生活中应关注食品标签上的添加剂成分，并了解其来源和用途。
2. **咨询专业人士**：对于特定健康问题或疑虑，建议咨询医生、营养师或其他医疗专业人员的意见。"
花生衣红,peanut skin red,08.134,—,着色剂,,,,"### 花生衣红（也被称为红色花生衣）

#### 适用食品：

1. **红花生衣红枣猪瘦肉汤**：这道汤主要适用于健脾养血、补血益气，适合老年人在入冬时饮用以增强体质。
2. **养生汤**：红花生衣因其补血功效被用于制作多种养生汤品。

#### 对人体影响：

- **对健康食品的补充作用**：已知为健康食品之一，具有对抗纤维蛋白溶解、缩短凝血时间的作用，有助于促进骨髓造血机能和增加血小板含量。
- **提升血液质量**：改善血小板的质量，对改善凝血因子的缺陷有帮助而不提高其水平。

#### 对特定人群的影响：

1. **老人**：适合体质较弱或在寒冷季节容易感到乏力、恶寒、气短的人群。通过饮食调理增强身体机能。
2. **小孩**：信息有限，通常认为食品添加剂和营养物质对儿童安全，但应确保摄入量适宜且无过敏风险。
3. **孕妇**：目前没有明确的不良影响报道，但在使用任何新的食品成分前，最好咨询医生或专业营养师的意见。

#### 剂量：

- 一般来说，建议在专业人士指导下使用，如作为食疗部分添加至汤品中，每日摄入量一般不会超过一定限制（例如20克左右）。
- 对于药物性使用，剂量和频率应遵循医疗指导，以免产生副作用或与现有药物相互作用。

#### 安全性：

- 作为一种天然食品添加剂，花生衣红被认为是安全的，但个别人可能对某些成分过敏。在开始食用前进行过敏测试是明智的选择。
- 长期大量摄入未见明确有害报告，但仍建议遵循适度原则，并根据个人健康状况调整使用量。

综上所述，花生衣红作为食品添加剂之一，在特定食谱中被用于增强营养或提供保健效益，对多数人群安全无害。然而，具体的适用剂量和安全性应根据个体的健康情况、年龄以及任何可能存在的过敏因素而定。在考虑使用之前，咨询医疗专业人士的意见总是最明智的选择。"
槐豆胶（又名刺槐豆胶）,carob bean gum,20.023,410,增稠剂,,,,"### 槐豆胶（又名刺槐豆胶）概述

**适用范围：**
- 在肉制品加工过程中，槐豆胶被用作增稠剂、保水剂和胶凝剂，可改善持水性和肉品的组织结构。它常与其他食用胶复配使用。
- 在西式香肠等肉制品加工中发挥重要作用。

**对人体安全性与适用人群：**
- 槐豆胶作为一种天然食品添加剂，在合法合规且合理用量的情况下，被认为是安全的。
- 对于一般健康成人来说，槐豆胶在食物中的应用是可接受的。然而，过敏体质的人群可能需要避免食用含有槐豆胶的产品。

**对特定群体的影响：**
- **小孩、孕妇、老人**：关于特定群体的风险信息有限或未明确指出，通常认为只要食品符合安全标准和建议摄入量，这些人群可以安全食用含槐豆胶的食物。然而，如果某人有特定的健康问题（如过敏反应），则应根据个人情况小心使用。

**剂量与用量：**
- 根据食品安全国家标准GB 29945-2013《食品添加剂 槐豆胶(刺槐豆胶)》，槐豆胶作为增稠剂、乳化剂和稳定剂在各类食品中的最大允许使用量有所规定，具体数值需参照该标准。例如，在肉类制品中，它的添加量通常有明确的限制。
- 一般来说，食品生产商会在产品的标签上标注添加剂的使用信息，包括添加类型和推荐的最大使用量。

**总结：**
槐豆胶作为天然食品添加剂在多类食品中有广泛的应用。其安全性主要取决于合法合规的使用以及合理用量，并且对于一般健康成人来说是安全可接受的。特定群体（如小孩、孕妇、老人）在食用含槐豆胶的产品时，应考虑个人状况和潜在的过敏风险。遵循食品安全标准和生产商建议的用量是保证食品安全的关键。"
